C1	C2	C3	C4
1	19	0	0
2	23	0	0
3	35	0	0
4	40	0	0
5	51	0	0
6	85	12	0
7	114	12	1
8	160	12	2
9	206	18	2
10	271	18	3
11	321	18	5
12	373	18	6
13	456	18	8
14	590	18	8
15	797	18	10
16	1,061	18	21
17	1,391	18	35
18	1,543	52	55
19	1,950	65	71
20	2,626	65	103
21	3,269	79	144
22	3,983	79	177
23	5,018	93	233
24	5,683	135	281
25	6,650	135	335
26	8,077	135	422
			
			
			
			
